Dispositivos,Profundidad,Paquete_Enviado,Paquete_Recibido,Tiempo_Envio,Tiempo_Recibido,Terminal_de_Envio,Terminal_de_recibido,Latencia
16, 14, 548000aa, 2548000aa, 145, 225, 3, 11, 80
16, 14, 105af492, 3105af492, 1695, 1715, 0, 4, 20
16, 14, 1004ed4a, 31004ed4a, 2255, 2345, 0, 4, 90
16, 14, 4229c58, 4229c58, 2875, 3195, 0, 3, 320
16, 14, 40cf025a, 340cf025a, 3515, 3665, 0, 7, 150
16, 14, 1548c26, 1548c26, 4215, 4305, 0, 0, 90
16, 14, 2013f17f, 32013f17f, 4905, 5085, 0, 5, 180
16, 14, 30d30f01, 330d30f01, 5565, 5835, 0, 6, 270
16, 14, 40a17d72, 340a17d72, 6205, 6565, 0, 7, 360
16, 14, 53881111, 253881111, 6865, 7385, 0, 10, 520
16, 14, 40bce6a, 40bce6a, 7525, 7885, 0, 3, 360
16, 14, 158468c3, 1158468c3, 8145, 8505, 0, 12, 360
16, 14, 4025085b, 34025085b, 8825, 9185, 0, 7, 360
16, 14, 202c4e26, 3202c4e26, 9475, 9655, 0, 5, 180
16, 14, 402646d0, 3402646d0, 10165, 10525, 0, 7, 360
16, 14, 20acf5e6, 320acf5e6, 10815, 10895, 1, 5, 80
16, 14, 199d50a, 199d50a, 11365, 11485, 1, 0, 120
16, 14, 3cfcd53, 3cfcd53, 12025, 12205, 1, 2, 180
16, 14, 2953fcf, 2953fcf, 12645, 12735, 1, 1, 90
16, 14, 15dd8d75, 115dd8d75, 13325, 13595, 1, 12, 270
16, 14, 542bacc9, 2542bacc9, 14015, 14555, 1, 11, 540
16, 14, 359be5ca, 1359be5ca, 14715, 15065, 1, 14, 350
16, 14, 2e2a5c9, 2e2a5c9, 15385, 15475, 1, 1, 90
16, 14, 45c4150e, 145c4150e, 15995, 16455, 1, 15, 460
16, 14, 523b7b77, 2523b7b77, 16665, 17025, 1, 9, 360
16, 14, 3050362f, 33050362f, 17295, 17635, 1, 6, 340
16, 14, 5402065f, 25402065f, 17985, 18405, 1, 11, 420
16, 14, 159f2854, 1159f2854, 18645, 18915, 1, 12, 270
16, 14, 51576772, 251576772, 19325, 19775, 1, 8, 450
16, 14, 154b92fd, 1154b92fd, 20035, 20155, 2, 12, 120
16, 14, 143f4e4, 143f4e4, 20645, 20855, 2, 0, 210
16, 14, 3594778, 3594778, 21355, 21445, 2, 2, 90
16, 14, 3e07c94, 3e07c94, 22065, 22155, 2, 2, 90
16, 14, 3061be7, 3061be7, 22735, 22825, 2, 2, 90
16, 14, 15fe4fc8, 115fe4fc8, 23355, 23535, 2, 12, 180
16, 14, 36e4b5d, 36e4b5d, 24055, 24145, 2, 2, 90
16, 14, 536a10e3, 2536a10e3, 24765, 24935, 2, 10, 170
16, 14, 3548856a, 13548856a, 25425, 25785, 2, 14, 360
16, 14, 35d879b8, 135d879b8, 26055, 26395, 2, 14, 340
16, 14, 451bd92b, 1451bd92b, 26765, 27155, 2, 15, 390
16, 14, 350669ea, 1350669ea, 27375, 27735, 2, 14, 360
16, 14, 25f39ffd, 125f39ffd, 28025, 28275, 2, 13, 250
16, 14, 4dc8b4b, 4dc8b4b, 28695, 28875, 2, 3, 180
16, 14, 51d61a09, 251d61a09, 29375, 29705, 3, 8, 330
16, 14, 35fb654c, 135fb654c, 29955, 30225, 3, 14, 270
16, 14, 528159e0, 2528159e0, 30635, 31175, 3, 9, 540
16, 14, 3765c7b, 3765c7b, 31285, 31405, 3, 2, 120
16, 14, 48af7bd, 48af7bd, 31965, 32055, 3, 3, 90
16, 14, 25c0e8c4, 125c0e8c4, 32615, 32795, 3, 13, 180
16, 14, 52050f01, 252050f01, 33315, 33835, 3, 9, 520
16, 14, 10b048c1, 310b048c1, 33955, 34315, 3, 4, 360
16, 14, 10a5e526, 310a5e526, 34665, 35025, 3, 4, 360
16, 14, 1045945a, 31045945a, 35275, 35635, 3, 4, 360
16, 14, 5284b416, 25284b416, 35895, 36375, 3, 9, 480
16, 14, 358a8c09, 1358a8c09, 36565, 36835, 3, 14, 270
16, 14, 40fe3db5, 340fe3db5, 37225, 37855, 3, 7, 630
16, 14, 258c74df, 1258c74df, 37895, 38075, 3, 13, 180
16, 14, 259d558f, 1259d558f, 38605, 38955, 4, 13, 350
16, 14, 3005ae39, 33005ae39, 39245, 39515, 4, 6, 270
16, 14, 5256b66f, 25256b66f, 39885, 40215, 4, 9, 330
16, 14, 53fdb2dc, 253fdb2dc, 40555, 41015, 4, 10, 460
16, 14, 1612fcd, 1612fcd, 41165, 41255, 4, 0, 90
16, 14, 547e4749, 2547e4749, 41775, 42285, 4, 11, 510
16, 14, 253ef4c3, 1253ef4c3, 42415, 42865, 4, 13, 450
16, 14, 256093b4, 1256093b4, 43085, 43535, 4, 13, 450
16, 14, 52658617, 252658617, 43795, 44185, 4, 9, 390
16, 14, 15df5baa, 115df5baa, 44465, 44825, 4, 12, 360
16, 14, 35fd0dfa, 135fd0dfa, 45075, 45555, 4, 14, 480
16, 14, 10df2872, 310df2872, 45765, 45855, 4, 4, 90
16, 14, 466bf08, 466bf08, 46385, 46745, 4, 3, 360
16, 14, 156779b, 156779b, 47015, 47105, 4, 0, 90
16, 14, 25451ff4, 125451ff4, 47635, 47935, 5, 13, 300
16, 14, 4582f2d7, 14582f2d7, 48325, 48825, 5, 15, 500
16, 14, 2065a61c, 32065a61c, 49005, 49095, 5, 5, 90
16, 14, 51e3f07d, 251e3f07d, 49655, 49925, 5, 8, 270
16, 14, 1055052d, 31055052d, 50355, 50515, 5, 4, 160
16, 14, 23b48e9, 23b48e9, 51005, 51255, 5, 1, 250
16, 14, 51ffc339, 251ffc339, 51655, 51925, 5, 8, 270
16, 14, 256d6a77, 1256d6a77, 52325, 52685, 5, 13, 360
16, 14, 15e178f1, 115e178f1, 52985, 53375, 5, 12, 390
16, 14, 45f13a21, 145f13a21, 53645, 54185, 5, 15, 540
16, 14, 12026d3, 12026d3, 54295, 54475, 5, 0, 180
16, 14, 40fca721, 340fca721, 54935, 55205, 5, 7, 270
16, 14, 4051f0ee, 34051f0ee, 55645, 55915, 5, 7, 270
